table_0,table_0,table_0,table_0,table_1,table_1,table_1,table_1,table_2,table_2,table_2,table_2,table_3,table_3,table_3,table_3,table_4,table_4,table_4,table_4
10.66,3,31.66,4,78.25,10,-5.99,6,18.54,11,-1.55,10,114.39,6,68.88,11,10.78,3,103.78,6
11.36,3,-19.96,2,77.2,9,2.11,4,17.51,10,-10.09,2,123.32,5,69.58,2,5.5,8,104.65,7
12.12,4,31.72,4,79.92,2,1.78,4,15.66,8,-10.13,2,116.0,8,70.33,2,10.59,3,103.31,5
13.06,5,-19.77,2,84.55,7,-11.57,10,14.9,7,-9.61,2,117.93,10,71.28,3,1.91,4,105.62,8
11.66,4,31.36,3,77.18,9,-10.27,2,14.02,6,-8.83,3,107.69,10,71.87,4,9.32,11,103.08,5
10.56,3,-19.46,3,79.36,11,-6.79,5,13.51,6,-6.13,6,114.43,6,72.78,5,-0.16,2,105.93,8
9.28,11,31.18,3,84.68,7,-11.75,10,12.55,5,9.94,2,124.34,6,73.5,6,10.54,3,103.48,5
8.1,10,-19.36,3,78.79,11,-3.17,9,11.58,4,-4.4,8,114.81,7,74.32,6,3.7,6,105.41,7
6.53,9,30.79,3,80.22,2,-5.09,7,10.15,2,10.14,2,124.86,7,74.75,7,-0.95,11,103.06,5
5.64,8,-18.68,3,79.01,11,13.13,5,199.92,2,6.04,8,117.84,10,75.86,8,1.19,3,106.2,8
4.74,7,30.78,3,74.53,7,7.29,9,73.71,6,8.39,10,107.85,10,76.96,9,7.16,9,103.85,6
3.83,6,-18.69,3,74.79,7,-3.82,8,50.49,2,6.31,8,116.06,8,78.05,10,10.15,2,104.58,7
2.96,5,30.82,3,73.54,6,6.23,8,38.96,11,-0.59,11,117.77,10,79.17,11,2.21,4,103.41,5
1.96,4,-18.81,3,73.92,6,12.27,4,31.61,4,-0.85,11,107.8,10,80.18,2,12.0,4,105.52,8
0.73,3,30.59,3,72.05,4,-0.47,2,27.09,9,9.61,2,115.93,8,80.95,3,9.62,2,103.04,5
-0.33,2,-18.64,3,71.42,3,2.32,4,24.31,6,6.16,8,119.62,2,81.89,4,5.91,8,106.31,8
0.69,3,30.65,3,76.53,9,2.81,5,21.44,3,5.08,7,121.69,4,82.9,5,2.02,4,103.96,6
1.57,4,-18.76,3,81.76,4,-12.15,10,19.57,2,3.35,5,128.69,11,83.79,6,4.81,7,104.35,6
2.95,5,31.14,3,85.04,7,-13.19,9,16.83,9,-5.02,7,129.22,11,85.17,7,6.62,9,103.62,6
3.76,6,-19.33,3,83.06,5,-2.55,9,15.62,8,6.09,8,125.46,7,85.98,8,8.68,11,105.15,7
4.54,7,31.11,3,80.48,2,4.03,6,14.23,6,6.06,8,123.55,6,86.76,9,8.64,11,103.02,5
5.17,7,-19.48,3,84.74,7,12.03,4,13.46,5,4.9,7,114.31,6,87.39,9,4.39,6,106.07,8
6.31,8,31.62,4,77.65,10,-11.79,10,13.19,5,6.03,8,123.59,6,88.53,11,12.24,4,103.63,6
7.35,9,-19.58,2,79.65,2,3.82,6,11.69,4,-7.81,4,115.49,7,89.57,2,8.07,10,105.21,7
7.95,10,31.17,3,83.59,6,-5.08,7,10.52,3,6.78,9,122.06,4,90.16,2,7.32,9,102.96,5
8.89,11,-19.23,3,77.34,9,-12.23,10,10.25,2,-9.87,2,126.6,9,91.11,3,2.9,5,106.32,8
10.29,2,31.63,4,83.52,6,7.51,10,200.34,2,-9.72,2,134.91,7,92.51,5,11.67,4,104.1,6
11.16,3,-19.76,2,86.61,9,-2.0,10,74.0,6,-9.39,3,137.04,9,93.38,5,9.78,2,104.23,6
12.19,4,31.79,4,88.79,11,8.15,10,50.6,3,-6.68,5,128.84,11,94.41,6,10.05,2,104.16,6
13.33,5,-19.65,2,79.9,2,11.32,3,38.24,10,1.73,4,129.1,11,95.55,8,4.23,6,104.2,6
12.52,5,31.84,4,83.32,5,10.14,2,30.6,3,8.71,11,125.62,8,96.74,9,4.32,6,103.89,6
12.19,4,-19.18,3,76.75,9,7.58,10,25.82,8,8.83,11,125.16,7,98.41,10,10.11,2,104.56,7
11.57,4,31.56,4,83.91,6,12.72,5,23.14,5,-7.41,5,121.22,3,99.79,2,3.64,6,103.63,6
10.25,2,-19.88,2,87.42,9,8.42,10,20.78,3,-8.77,3,131.83,4,100.47,2,2.47,4,105.28,7
9.23,11,31.86,4,87.46,9,-1.19,11,18.7,11,-2.6,9,130.31,2,101.45,3,11.97,4,102.93,5
8.78,11,-19.32,3,81.19,3,11.44,3,17.02,9,9.35,11,120.4,2,103.0,5,3.91,6,106.36,8
8.36,10,31.9,4,77.83,10,6.97,9,14.54,7,9.42,11,128.36,10,104.58,7,9.97,2,104.01,6
7.16,9,-20.1,2,76.99,9,7.4,9,13.81,6,-1.59,10,133.45,5,105.38,7,0.67,3,104.49,6
6.2,8,32.14,4,81.84,4,4.46,6,12.48,4,0.08,2,143.56,6,106.42,8,2.07,4,103.57,6
4.86,7,-20.48,2,86.0,8,6.95,9,11.44,3,-9.83,2,135.57,8,107.08,9,4.43,6,105.24,7
4.31,6,32.93,5,83.17,5,-10.88,11,200.5,2,-3.41,9,129.92,2,108.53,11,2.75,5,102.8,5
3.39,5,-20.85,11,76.95,9,4.27,6,73.88,6,-9.44,3,120.91,3,109.61,2,2.14,4,106.53,9
2.48,4,32.93,5,82.86,5,-10.31,2,50.68,3,-8.27,4,129.9,2,110.7,3,6.14,8,104.24,6
0.87,3,-21.54,10,86.82,9,-10.6,11,39.36,11,0.32,2,121.69,4,111.09,3,6.98,9,104.06,6
-0.15,2,33.53,6,88.51,11,-11.27,11,32.2,4,-2.26,10,129.91,2,112.07,4,0.97,3,104.41,6
0.25,2,-22.13,10,79.78,2,-10.75,11,27.39,9,-8.15,4,121.09,3,112.47,4,9.0,11,103.67,6
1.65,4,34.53,7,82.6,5,-7.71,4,23.17,5,4.91,7,131.19,3,113.87,6,7.66,10,105.04,7
3.14,5,-22.04,10,76.68,9,-10.16,2,20.76,3,-6.05,6,124.51,7,115.36,7,6.81,9,103.08,5
4.2,6,34.1,6,82.15,4,-8.7,3,18.52,11,-8.5,4,115.08,7,116.42,8,1.11,3,106.07,8
5.32,7,-21.98,10,85.39,7,-12.61,9,16.73,9,-7.14,5,123.45,5,117.54,10,2.2,4,103.49,5
6.42,8,34.08,6,85.29,7,-11.8,10,15.78,8,4.12,6,116.01,8,118.64,11,12.16,4,105.49,7
7.25,9,-22.25,10,79.81,2,0.16,2,14.03,6,5.17,7,118.08,10,119.47,11,10.72,3,103.01,5
7.78,10,33.78,6,77.85,10,-4.66,7,13.24,5,2.29,4,108.74,11,120.0,2,4.21,6,106.29,8
9.12,11,-21.44,11,74.53,7,-0.63,11,12.28,4,-1.33,11,118.74,11,121.34,3,0.57,3,104.12,6
9.98,2,33.3,5,80.29,2,9.29,11,11.97,4,-5.71,6,112.51,5,122.2,4,3.77,6,104.09,6
11.16,3,-21.12,11,75.99,8,3.72,6,10.76,3,-7.98,4,106.4,8,123.38,5,6.3,8,104.08,6
12.54,5,33.5,6,72.8,5,12.69,5,10.56,3,-10.36,2,101.94,4,124.75,7,1.63,4,104.11,6
13.38,5,-21.66,10,78.88,11,-12.76,9,10.5,2,-9.85,2,111.3,3,125.6,8,8.74,11,104.05,6
12.04,4,33.32,5,76.81,9,-0.89,11,200.2,2,-3.46,9,101.46,3,126.26,8,9.44,11,104.25,6
10.77,3,-21.6,10,76.94,9,1.45,3,73.84,6,-9.22,3,109.81,2,126.99,9,0.54,3,103.98,6
9.47,11,33.3,5,83.9,6,6.06,8,50.46,2,-7.39,5,112.07,4,127.69,10,10.5,2,104.55,7
8.41,10,-21.36,11,86.75,9,-8.82,3,39.61,2,5.4,7,103.19,5,128.62,11,10.9,3,103.39,5
7.61,10,33.57,6,87.27,9,-1.51,10,31.8,4,-1.91,10,107.71,10,129.83,2,1.35,3,105.52,8
7.1,9,-21.07,11,78.9,11,-12.47,10,26.8,9,4.59,7,115.42,7,131.32,3,10.82,3,103.06,5
5.91,8,32.88,5,75.99,8,8.67,11,23.01,5,-5.79,6,122.31,4,132.13,4,2.68,5,106.07,8
4.82,7,-20.97,11,76.11,8,-0.75,11,19.59,2,-9.54,2,124.23,6,133.04,5,1.84,4,103.61,6
3.76,6,32.92,5,80.54,3,11.79,4,18.22,10,-10.43,2,113.82,6,133.98,6,7.91,10,105.03,7
2.51,5,-21.17,11,83.75,6,4.95,7,17.41,9,-3.16,9,120.81,3,134.73,7,7.58,10,103.11,5
1.39,3,33.06,5,77.58,10,5.15,7,15.28,7,-0.72,11,131.12,3,135.61,8,1.81,4,106.14,8
0.1,2,-21.35,11,82.88,5,-8.35,4,13.51,6,-1.05,11,123.3,5,136.32,8,0.51,3,103.66,6
-0.7,11,33.55,6,85.63,8,-6.9,5,13.34,5,8.48,10,116.45,8,137.52,10,2.34,4,105.06,7
0.55,3,-21.3,11,87.99,10,-10.64,11,12.53,5,0.67,3,115.22,7,138.77,11,8.42,10,103.2,5
1.26,3,33.01,5,80.7,3,-3.59,8,12.28,4,-2.35,10,124.31,6,139.48,11,7.51,10,106.01,8
2.35,4,-20.91,11,81.02,3,-10.12,2,10.8,3,-8.11,4,115.46,7,140.57,3,4.16,6,103.75,6
3.87,6,33.42,5,76.04,8,12.35,4,10.06,2,6.44,8,121.96,4,142.08,4,2.85,5,104.74,7
5.2,7,-21.08,11,74.88,7,-12.28,10,200.36,2,-7.27,5,127.22,9,143.42,5,6.56,9,103.23,5
6.75,9,33.63,6,80.59,3,1.61,4,73.12,5,-4.36,8,137.52,10,144.97,7,1.92,4,105.91,8
7.42,9,-21.96,10,78.26,10,-1.41,11,51.15,3,2.67,5,131.79,4,145.64,8,9.45,11,103.58,6
8.37,10,33.91,6,74.36,6,-9.72,2,39.53,2,4.45,6,129.61,2,146.59,9,1.91,4,105.07,7
9.55,2,-21.73,10,79.09,11,8.95,11,32.14,4,-8.96,3,123.3,5,147.77,10,6.3,8,103.21,5
11.0,3,34.18,6,75.59,8,-12.51,9,27.8,10,-6.42,6,116.84,9,149.22,11,4.75,7,106.01,8
11.66,4,-22.53,9,75.33,7,12.77,5,23.97,6,10.07,2,111.41,3,149.88,2,2.42,4,103.6,6
13.2,5,35.08,7,78.71,11,-0.27,2,21.52,4,4.05,6,101.67,4,151.42,3,7.91,10,105.19,7
12.55,5,-22.72,9,78.89,11,-1.4,11,19.18,11,9.14,11,110.57,3,152.77,5,12.58,5,102.97,5
11.68,4,34.85,7,78.47,10,1.66,4,17.8,10,3.76,6,104.63,7,153.9,6,8.21,10,106.25,8
10.8,3,-22.74,9,77.5,9,8.37,10,15.53,8,-7.55,4,96.45,8,155.01,7,7.19,9,103.94,6
9.7,2,34.64,7,78.54,11,-10.15,2,14.0,6,8.65,11,103.59,6,155.92,8,0.84,3,104.29,6
8.59,11,-22.75,9,83.36,5,11.01,3,12.25,4,-6.49,6,104.04,6,156.8,9,11.81,4,103.77,6
7.59,10,34.76,7,81.9,4,-11.94,10,11.44,3,-6.88,5,100.82,3,157.81,10,11.0,3,104.87,7
6.02,8,-23.33,9,85.99,8,9.2,11,11.04,3,6.0,8,103.83,6,158.24,10,9.05,11,103.16,5
4.79,7,35.1,7,84.1,6,-4.01,8,10.32,2,9.78,2,102.27,4,159.01,11,6.62,9,105.98,8
4.01,6,-22.88,9,77.15,9,12.63,5,199.77,2,6.93,9,111.64,4,160.23,2,2.37,4,103.42,5
3.08,5,34.95,7,81.9,4,11.82,4,73.56,6,8.83,11,101.73,4,161.3,3,0.12,2,105.5,8
2.08,4,-22.95,9,85.95,8,-0.31,2,51.19,3,-9.14,3,111.2,3,162.3,4,8.0,10,103.09,5
0.79,3,34.66,7,84.5,6,5.17,7,39.53,2,-9.06,3,102.42,4,163.01,5,4.51,7,106.23,8
-0.19,2,-22.64,9,77.67,10,1.95,4,32.23,4,7.44,9,111.83,4,164.02,6,1.03,3,103.88,6
0.89,3,34.72,7,80.55,3,-6.75,5,27.94,10,9.11,11,102.48,4,165.1,7,2.13,4,104.63,7
2.3,4,-22.31,10,84.04,6,-10.83,11,24.25,6,3.12,5,111.67,4,166.52,9,12.69,5,103.34,5
3.24,5,34.25,6,77.45,9,-3.06,9,20.74,3,-8.14,4,101.67,4,167.46,9,1.9,4,105.63,8
4.37,6,-22.12,10,81.88,4,-10.3,2,18.66,11,-1.31,11,110.16,2,168.59,11,8.21,10,103.03,5
5.3,7,34.06,6,85.09,7,12.72,5,17.08,9,-6.88,5,107.64,10,169.52,2,2.89,5,106.11,8
6.25,8,-22.11,10,83.41,5,-11.91,10,14.87,7,-7.32,5,114.8,7,170.47,2,10.91,3,103.67,6
6.88,9,33.74,6,81.06,3,-0.3,2,12.57,5,10.85,3,125.83,8,171.1,3,-0.61,11,105.24,7
7.61,10,-22.01,10,85.56,8,-4.13,8,12.1,4,0.47,2,127.66,10,171.83,4,10.54,3,103.03,5
8.48,10,33.89,6,79.62,2,1.7,4,10.88,3,-9.42,3,136.38,8,172.7,5,7.79,10,106.12,8
10.16,2,-21.21,11,76.6,9,11.6,4,199.77,2,-9.63,2,127.0,9,174.37,6,7.12,9,103.77,6
11.24,3,33.3,5,73.49,5,-10.18,2,73.99,6,-0.63,11,136.05,8,175.46,7,12.15,4,104.67,7
12.01,4,-21.54,10,81.38,3,6.02,8,50.83,3,-5.76,6,127.78,10,176.22,8,8.6,11,103.31,5
13.15,5,33.68,6,76.22,8,-11.84,10,40.36,2,9.93,2,136.76,9,177.36,9,5.23,7,105.8,8
11.73,4,-22.09,10,76.49,8,-1.81,10,32.35,4,-10.21,2,126.59,9,177.95,10,1.31,3,103.26,5
10.7,3,34.06,6,82.08,4,-4.47,8,27.31,9,10.24,2,134.82,7,178.92,11,-0.06,2,105.86,8
9.95,2,-21.81,10,85.65,8,10.42,2,23.33,5,-6.7,5,137.8,10,180.17,2,4.42,6,103.42,5
8.82,11,33.68,6,85.44,7,10.94,3,21.09,3,7.49,9,134.76,7,181.04,3,8.79,11,105.73,8
7.98,10,-21.52,10,79.44,11,11.85,4,18.75,11,10.16,2,138.7,11,182.2,4,6.26,8,103.37,5
7.15,9,33.7,6,77.16,9,9.77,2,17.04,9,5.24,7,143.75,6,183.37,5,4.3,6,105.72,8
6.85,9,-21.01,11,74.47,6,4.38,6,15.86,8,7.79,10,136.52,9,185.07,7,7.16,9,103.16,5
6.26,8,33.42,5,82.81,5,13.47,5,14.24,6,1.19,3,127.72,10,186.48,8,12.68,5,106.21,8
5.6,8,-21.07,11,77.53,10,-10.45,2,13.71,6,10.01,2,136.79,9,187.82,10,7.57,10,103.9,6
4.4,6,32.87,5,82.76,5,-6.19,6,13.05,5,3.28,5,126.01,8,188.62,11,1.67,4,104.37,6
4.06,6,-20.22,2,85.63,8,-11.32,11,13.46,5,9.86,2,129.46,11,190.28,2,7.1,9,103.72,6
3.18,5,32.34,4,86.82,9,0.19,2,12.1,4,3.28,5,122.73,5,191.4,3,12.21,4,104.77,7
1.67,4,-20.86,11,79.13,11,-8.25,4,11.53,4,8.54,11,119.52,2,191.89,4,8.14,10,102.99,5
0.69,3,32.88,5,74.56,7,-1.68,10,10.26,2,3.16,5,120.13,2,192.91,5,7.04,9,106.1,8
-0.7,11,-21.27,11,74.4,6,-10.92,11,200.09,2,-4.82,7,126.73,9,193.52,6,6.35,8,103.66,6
-0.37,2,32.6,5,73.32,5,9.53,2,74.17,6,0.19,2,135.21,7,193.85,6,8.89,11,104.98,7
0.17,2,-21.06,11,72.74,5,-9.22,3,51.45,3,9.99,2,134.49,6,194.39,6,11.23,3,103.17,5
1.07,3,32.96,5,72.33,4,13.32,5,39.73,2,-4.72,7,140.68,3,195.29,7,9.83,2,106.08,8
1.91,4,-21.12,11,73.7,6,-13.06,9,32.23,4,9.69,2,146.85,9,196.13,8,2.73,5,103.61,6
3.2,5,33.42,5,76.56,9,-4.68,7,26.25,8,10.13,2,154.17,6,197.42,9,1.49,3,105.15,7
4.54,7,-21.08,11,73.84,6,3.7,6,23.09,5,8.02,10,152.74,5,198.76,11,10.56,3,103.18,5
5.41,7,32.95,5,81.49,3,9.33,11,21.11,3,8.47,10,162.03,4,199.63,2,7.79,10,105.94,8
6.49,8,-20.87,11,75.7,8,-12.55,9,18.7,11,8.68,11,152.24,4,200.71,3,3.14,5,103.45,5
8.01,10,33.39,5,77.26,9,13.35,5,17.0,9,-2.27,10,162.77,5,167.78,10,7.86,10,105.57,8
8.99,11,-21.41,11,80.16,2,-0.07,2,15.34,7,-7.89,4,157.24,9,139.79,2,9.97,2,103.12,5
9.94,2,33.36,5,84.5,7,-5.31,7,13.24,5,4.4,6,158.19,10,116.45,8,5.92,8,105.93,8
11.3,3,-21.0,11,77.41,9,0.61,3,11.58,4,-9.7,2,167.39,9,97.4,9,11.6,4,103.5,5
12.35,4,33.05,5,80.73,3,6.53,9,11.31,3,-5.24,7,160.37,2,81.21,3,12.08,4,105.5,7
12.99,5,-21.41,11,84.72,7,-4.1,8,10.89,3,-7.63,4,158.59,11,67.32,9,4.4,6,103.01,5
14.14,6,33.56,6,78.01,10,1.33,3,200.06,2,-0.51,11,168.09,10,56.25,8,2.25,4,106.14,8
13.59,6,-21.11,11,79.42,11,11.44,3,73.41,5,-8.0,4,157.96,10,47.32,9,5.75,8,103.73,6
12.41,4,32.93,5,82.5,5,-7.76,4,50.64,3,10.43,2,166.09,8,39.26,11,3.71,6,104.98,7
11.12,3,-21.22,11,77.14,9,6.68,9,39.21,11,-9.53,2,169.66,2,32.42,4,9.52,2,102.98,5
10.04,2,33.14,5,82.57,5,-8.41,4,32.07,4,1.96,4,170.35,2,26.94,9,9.86,2,106.39,8
9.3,11,-20.89,11,85.55,8,1.91,4,28.58,11,-4.12,8,175.7,8,22.71,5,8.43,10,103.95,6
8.04,10,32.63,5,87.02,9,-10.99,11,24.97,7,4.52,7,174.06,6,18.67,11,5.57,8,104.57,7
7.39,9,-20.28,2,80.37,2,-10.42,2,21.99,4,-1.69,10,164.83,7,15.9,8,4.58,7,103.5,5
5.73,8,31.62,4,76.3,8,-9.03,3,20.2,2,-8.15,4,175.06,7,12.59,5,-1.1,11,105.41,7
5.08,7,-19.27,3,73.25,5,-11.48,11,18.66,11,-9.44,3,167.33,9,10.85,3,8.6,11,103.0,5
4.28,6,31.46,3,80.54,3,-12.75,9,16.59,9,-6.39,6,159.99,2,9.24,11,5.33,7,106.24,8
3.46,5,-19.29,3,76.08,8,-6.69,5,14.85,7,-0.52,11,162.25,4,10.41,2,6.29,8,103.91,6
2.39,4,31.22,3,73.6,6,1.29,3,14.68,7,3.33,5,153.46,5,11.35,3,3.89,6,104.56,7
1.38,3,-19.23,3,80.13,2,-2.45,10,12.8,5,10.32,2,158.4,10,12.34,4,8.99,11,103.51,6
0.39,2,31.23,3,75.49,7,-7.51,4,11.36,3,5.94,8,168.57,11,13.35,5,5.01,7,105.42,7
-0.51,11,-19.13,3,72.57,5,12.06,4,10.85,3,4.08,6,159.51,2,14.45,6,5.17,7,102.97,5
0.68,3,31.32,3,77.22,9,-7.01,5,10.14,2,9.27,11,166.84,9,15.64,8,4.32,6,106.44,8
1.98,4,-19.02,3,77.44,9,3.66,6,200.36,2,3.73,6,164.19,6,16.94,9,7.49,9,104.41,6
2.81,5,30.85,3,83.6,6,-4.6,7,73.12,5,-4.53,7,171.58,4,17.76,10,9.71,2,103.68,6
4.27,6,-18.39,4,85.91,8,-12.92,9,50.07,2,9.2,11,180.34,2,19.23,11,5.77,8,104.88,7
5.66,8,30.77,3,87.84,10,9.91,2,38.47,10,8.84,11,171.11,3,20.61,3,8.64,11,103.2,5
6.69,9,-18.73,3,79.75,2,2.51,5,32.51,5,-5.78,6,181.46,3,21.65,4,3.06,5,105.99,8
7.34,9,30.38,2,79.12,11,12.46,4,27.77,10,-10.08,2,174.4,6,22.3,4,8.41,10,103.48,5
8.54,11,-18.18,4,74.93,7,-12.3,10,24.1,6,-9.9,2,164.49,6,23.49,5,8.33,10,105.4,7
9.78,2,30.43,2,74.42,6,0.38,2,20.29,2,-9.82,2,173.0,5,24.74,7,7.41,9,102.91,5
10.62,3,-18.59,3,74.74,7,-1.96,10,18.16,10,-10.25,2,170.53,3,25.58,8,4.73,7,106.3,8
11.67,4,30.64,3,72.87,5,-2.78,9,16.87,9,-9.81,2,177.73,10,26.63,9,4.09,6,103.91,6
12.35,4,-18.97,3,73.17,5,10.62,3,15.82,8,-6.43,6,187.14,9,27.31,9,4.46,6,104.47,6
13.12,5,30.75,3,73.68,6,12.77,5,14.95,7,-9.18,3,177.33,9,28.08,10,10.63,3,103.56,6
11.79,4,-19.09,3,72.9,5,10.78,3,13.89,6,4.4,6,187.22,9,28.74,11,8.44,10,105.24,7
10.59,3,30.89,3,71.45,3,-1.39,11,12.98,5,6.51,9,177.56,10,29.55,2,9.67,2,102.98,5
9.57,2,-18.91,3,72.62,5,9.99,2,11.95,4,-6.2,6,187.33,9,30.53,3,3.97,6,106.23,8
8.59,11,30.93,3,80.45,2,8.84,11,11.65,4,-5.37,7,179.0,11,31.55,4,1.03,3,104.07,6
7.53,10,-18.99,3,78.4,10,12.42,4,10.81,3,-2.52,9,179.65,2,32.49,4,10.91,3,104.2,6
6.41,8,30.86,3,74.69,7,12.65,5,199.91,2,-3.54,8,174.52,7,33.36,5,6.79,9,104.06,6
5.92,8,-18.35,4,78.12,10,1.03,3,73.84,6,9.71,2,164.81,7,34.88,7,3.86,6,104.27,6
4.86,7,30.29,2,75.62,8,-0.75,11,51.56,4,-9.57,2,174.43,6,35.82,8,4.9,7,103.81,6
4.07,6,-18.08,4,79.69,2,-6.54,5,38.97,11,7.27,9,164.23,6,37.03,9,4.35,6,104.68,7
3.17,5,30.18,2,80.76,3,4.59,7,31.85,4,-4.59,7,171.59,4,38.13,10,5.17,7,103.26,5
1.98,4,-18.36,4,75.67,8,-1.78,10,27.16,9,-2.0,10,180.67,3,38.94,11,1.69,4,105.76,8
0.85,3,30.23,2,73.57,6,-10.03,2,23.02,5,8.87,11,170.18,2,39.81,2,2.78,5,103.16,5
-0.31,2,-18.39,4,78.26,10,10.25,2,20.69,3,-2.48,10,175.49,7,40.65,3,8.73,11,106.02,8
0.55,3,30.26,2,73.73,6,-12.97,9,19.25,11,-10.91,11,170.26,2,41.51,4,4.77,7,103.39,5
1.26,3,-18.55,3,78.72,11,12.4,4,18.32,10,9.91,2,176.86,9,42.21,4,4.51,7,105.72,8
2.39,4,30.68,3,74.21,6,2.41,4,15.95,8,9.37,11,184.58,7,43.35,5,2.22,4,103.16,5
2.83,5,-19.25,3,76.02,8,0.89,3,15.59,8,9.63,2,191.27,3,43.78,6,0.06,2,105.91,8
4.31,6,31.73,4,73.48,5,-12.04,10,14.46,6,-1.39,11,195.0,7,45.27,7,5.81,8,103.47,5
5.14,7,-19.9,2,79.88,2,-5.37,7,13.11,5,6.21,8,197.63,10,46.1,8,5.72,8,105.49,7
5.95,8,31.72,4,75.37,7,-3.28,9,12.25,4,-8.43,4,200.74,3,46.91,9,2.69,5,103.1,5
7.06,9,-19.62,2,72.75,5,5.69,8,11.28,3,2.17,4,197.43,9,48.01,10,8.17,10,106.06,8
8.3,10,31.86,4,76.25,8,13.01,5,10.26,2,1.65,4,202.23,4,49.26,11,0.4,2,103.65,6
9.42,11,-19.74,2,75.99,8,-3.58,8,10.8,3,-1.8,10,211.84,4,50.38,2,6.2,8,105.13,7
10.35,2,31.67,4,81.63,4,-2.96,9,11.42,3,9.51,2,201.86,4,51.31,3,9.89,2,102.97,5
11.39,3,-19.63,2,83.61,6,12.68,5,10.43,2,-7.68,4,209.05,11,52.35,4,8.06,10,106.29,8
12.63,5,31.87,4,81.22,3,12.65,5,199.97,2,1.96,4,218.46,10,53.58,6,5.4,7,103.9,6
13.5,5,-20.0,2,85.34,7,-0.69,11,73.04,5,-8.52,3,208.6,11,54.46,6,10.79,3,104.57,7
12.49,4,31.99,4,80.64,3,-0.32,2,50.74,3,4.33,6,218.44,10,55.45,7,2.99,5,103.5,6
11.19,3,-20.29,2,78.13,10,4.7,7,39.37,11,4.63,7,208.97,11,56.15,8,1.5,3,105.43,7
10.24,2,32.34,4,74.85,7,2.15,4,32.92,5,-3.91,8,219.12,11,57.19,9,4.07,6,103.07,5
9.43,11,-20.14,2,79.39,11,-9.26,3,27.71,10,-9.74,2,211.94,4,58.39,10,6.33,8,106.13,8
8.73,11,32.44,4,76.66,9,-11.85,10,24.64,7,-8.13,4,201.29,3,59.68,2,6.49,8,103.59,6
7.82,10,-20.34,2,74.57,7,-12.94,9,22.37,4,-8.14,4,203.56,6,60.78,3,8.16,10,105.16,7
6.81,9,32.33,4,82.2,4,-4.38,8,19.36,11,-6.5,6,209.82,2,61.77,4,9.98,2,103.06,5
5.38,7,-20.76,11,77.61,10,2.64,5,18.29,10,-6.11,6,216.37,8,62.33,4,2.28,4,106.21,8
4.39,6,32.77,5,81.78,4,11.05,3,17.34,9,6.85,9,221.06,3,63.35,5,9.02,11,104.03,6
3.55,6,-20.61,11,84.16,6,-13.33,9,16.12,8,-6.25,6,228.96,11,64.51,7,1.27,3,104.05,6
2.75,5,32.81,5,82.49,4,8.86,11,15.1,7,-10.04,2,232.5,5,65.71,8,11.33,3,104.24,6
2.23,4,-20.33,2,84.19,6,4.74,7,14.27,6,-1.15,11,232.56,5,67.19,9,5.8,8,103.89,6
0.5,2,31.59,4,85.92,8,12.68,5,13.42,5,-9.33,3,233.66,6,67.45,9,9.78,2,104.63,7
-0.57,11,-19.65,2,86.34,8,-8.64,3,13.23,5,-2.48,10,243.59,6,68.39,10,-0.1,2,103.5,5
0.31,2,31.53,4,78.8,11,-0.69,11,11.61,4,2.87,5,233.79,6,69.27,11,4.79,7,105.37,7
1.5,4,-19.34,3,74.49,6,-11.92,10,199.79,2,9.34,11,243.6,6,70.46,2,10.32,2,103.04,5
2.91,5,31.74,4,75.91,8,4.34,6,73.53,6,-7.42,5,233.63,6,71.86,4,4.68,7,106.17,8
3.98,6,-19.67,2,74.43,6,-3.69,8,50.44,2,-1.92,10,243.47,5,72.94,5,1.13,3,103.94,6
5.06,7,31.75,4,79.38,11,-11.04,11,39.53,2,-3.14,9,232.95,5,74.02,6,6.13,8,104.37,6
6.03,8,-19.78,2,75.86,8,12.79,5,33.17,5,-4.47,8,238.01,10,74.99,7,0.95,3,103.81,6
7.46,9,32.2,4,74.51,7,-8.71,3,27.72,10,0.47,2,231.69,4,76.41,8,9.7,2,104.83,7
8.15,10,-20.51,11,79.43,11,-1.54,10,23.94,6,7.32,9,224.5,7,77.11,9,11.48,3,103.15,5
9.43,11,32.79,5,75.68,8,-12.35,10,21.1,3,-10.17,2,214.3,6,78.39,10,11.48,3,105.95,8
10.73,3,-20.5,11,74.06,6,9.14,11,19.41,11,-0.16,2,220.69,3,79.68,2,6.49,8,103.52,6
11.65,4,32.43,4,77.94,10,-1.84,10,17.96,10,-8.66,3,226.94,9,80.61,3,6.88,9,105.16,7
12.48,4,-20.59,11,74.12,6,12.89,5,16.76,9,4.68,7,233.77,6,81.44,3,6.72,9,103.01,5
13.59,6,32.7,5,80.05,2,10.51,3,14.96,7,7.73,10,243.66,6,82.55,5,2.18,4,106.28,8
12.12,4,-21.16,11,75.12,7,-2.21,10,14.78,7,-10.17,2,233.62,6,83.08,5,8.22,10,103.93,6
11.14,3,33.18,5,72.01,4,10.55,3,13.68,6,8.41,10,241.79,4,84.1,6,5.03,7,104.3,6
10.3,2,-21.03,11,74.96,7,11.95,4,13.55,6,-7.42,5,243.45,5,85.25,7,10.25,2,103.94,6
9.18,11,32.91,5,79.03,11,11.3,3,13.0,5,-0.52,11,233.98,6,86.13,8,7.8,10,104.57,7
