special_table,special_table,special_table,special_table
309.02,11,6.05,8
318.39,10,6.01,8
309.56,2,8.03,10
319.51,2,1.07,3
310.47,2,1.06,3
316.72,9,1.15,3
322.29,4,12.52,5
333.06,5,4.11,6
334.08,6,11.57,4
342.96,5,9.73,2
337.5,10,2.09,4
327.47,9,6.33,8
333.3,5,8.02,10
335.52,8,10.69,3
341.46,3,5.58,8
349.43,11,3.51,6
343.5,6,-0.65,11
334.24,6,7.28,9
343.02,5,6.95,9
337.74,10,10.84,3
327.69,10,5.76,8
336.78,9,9.42,11
330.67,3,9.23,11
322.9,5,1.31,3
329.43,11,1.86,4
333.94,6,4.53,7
341.79,4,-0.66,11
348.31,10,3.66,6
351.58,4,8.03,10
349.49,11,11.99,4
342.51,5,12.03,4
342.73,5,0.17,2
340.83,3,6.35,8
351.0,3,3.39,5
343.75,6,5.08,7
334.46,6,10.79,3
344.47,6,3.11,5
335.33,7,6.49,8
342.76,5,7.12,9
340.05,2,10.15,2
347.09,9,-0.22,2
357.22,9,9.24,11
349.01,11,11.3,3
347.32,9,4.91,7
357.47,9,10.83,3
351.12,3,3.22,5
345.25,7,3.74,6
342.24,4,4.2,6
343.9,6,2.51,5
334.16,6,2.76,5
343.78,6,11.4,3
333.8,6,8.16,10
341.3,3,3.91,6
349.51,2,1.21,3
342.28,4,2.43,4
344.01,6,6.22,8
335.44,7,11.64,4
342.21,4,4.4,6
344.1,6,5.52,8
334.54,7,10.77,3
343.05,5,4.76,7
337.06,9,4.79,7
329.9,2,4.89,7
329.35,11,6.86,9
334.15,6,2.26,4
343.11,5,3.54,6
337.1,9,11.15,3
329.53,2,6.6,9
332.02,4,4.34,6
323.29,5,4.2,6
325.55,8,-1.16,11
316.52,9,5.65,8
322.41,4,0.3,2
331.28,3,4.61,7
321.71,4,0.23,2
329.87,2,5.39,7
330.08,2,9.35,11
327.36,9,5.1,7
333.67,6,9.06,11
339.88,2,3.51,6
345.52,8,5.47,7
344.52,7,0.17,2
336.3,8,5.24,7
335.01,7,8.22,10
344.34,6,-0.4,2
335.12,7,5.19,7
343.3,5,9.82,2
335.87,8,8.04,10
338.5,10,-0.22,2
331.41,3,1.99,4
321.19,3,6.17,8
328.02,10,2.45,4
337.8,10,4.23,6
327.28,9,3.9,6
333.81,6,4.79,7
340.91,3,4.13,6
351.69,4,3.31,5
350.13,2,5.91,8
340.57,3,5.7,8
350.04,2,1.1,3
340.04,2,11.18,3
346.91,9,7.92,10
356.8,9,1.82,4
346.97,9,10.33,2
356.63,9,7.15,9
346.97,9,8.22,10
356.96,9,4.3,6
348.95,11,11.51,4
345.95,8,1.13,3
349.13,11,3.74,6
345.28,7,9.08,11
342.1,4,8.17,10
345.42,7,8.64,11
343.01,5,9.44,11
337.2,9,3.89,6
328.95,11,9.95,2
335.76,8,1.23,3
339.5,11,4.02,6
341.75,4,10.75,3
349.08,11,11.47,3
345.28,7,5.31,7
342.81,5,2.47,4
339.4,11,2.65,5
340.98,3,1.04,3
351.56,4,3.4,5
348.7,11,5.52,8
349.3,11,12.19,4
343.3,5,6.26,8
335.9,8,2.64,5
337.67,10,0.32,2
327.32,9,9.45,11
333.26,5,1.16,3
335.24,7,8.83,11
343.31,5,5.72,8
335.48,7,10.9,3
341.42,3,6.33,8
349.81,2,9.2,11
340.28,2,0.4,2
348.81,11,0.18,2
348.3,10,1.02,3
351.5,3,10.99,3
347.98,10,6.3,8
354.68,7,2.65,5
358.08,10,6.87,9
358.16,10,10.79,3
358.24,10,2.65,5
359.01,11,4.97,7
366.32,8,3.38,5
375.76,8,12.52,5
365.71,8,0.49,2
375.82,8,11.44,3
367.12,9,4.44,6
371.91,4,5.66,8
381.69,4,12.47,4
371.35,3,10.88,3
377.82,10,8.6,11
385.07,7,11.1,3
395.42,7,5.75,8
391.42,3,11.48,3
401.75,4,2.28,4
398.59,11,8.32,10
402.66,5,12.43,4
408.05,10,4.05,6
404.98,7,8.45,10
406.88,9,3.84,6
397.35,9,6.35,8
408.17,10,1.58,4
406.13,8,9.92,2
398.1,10,3.17,5
405.75,8,4.43,6
401.29,3,4.64,7
394.3,6,4.19,6
383.94,6,8.82,11
390.29,2,5.57,8
395.83,8,4.19,6
396.26,8,0.77,3
400.51,3,11.37,3
391.29,3,8.45,10
401.53,4,11.45,3
396.4,8,9.92,2
401.11,3,12.89,5
391.57,4,7.19,9
401.49,3,6.49,8
395.74,8,4.98,7
394.24,6,6.94,9
384.23,6,5.31,7
393.32,5,10.66,3
387.83,10,10.04,2
378.61,11,2.78,5
387.64,10,11.4,3
379.02,11,9.57,2
388.37,10,8.72,11
378.68,11,3.92,6
388.33,10,-0.35,2
378.83,11,6.98,9
388.12,10,4.15,6
377.18,9,9.72,2
379.21,11,10.43,2
386.88,9,5.24,7
381.8,4,7.67,10
371.08,3,4.55,7
374.36,6,10.37,2
370.01,2,9.37,11
364.0,6,11.24,3
360.22,2,6.37,8
368.22,10,5.49,7
362.52,5,3.61,6
352.57,5,3.39,5
358.69,11,3.66,6
364.31,6,1.09,3
361.81,4,0.97,3
356.88,9,4.11,6
347.34,9,6.3,8
357.27,9,12.78,5
348.89,11,7.78,10
347.96,10,6.36,8
354.62,7,1.2,3
357.7,10,-0.03,2
352.63,5,-0.33,2
359.54,2,7.54,10
369.06,11,2.47,4
358.64,11,2.73,5
363.85,6,9.74,2
358.15,10,8.19,10
358.99,11,10.6,3
366.65,9,9.09,11
373.19,5,10.72,3
379.43,11,0.01,2
385.61,8,8.17,10
392.81,5,10.64,3
391.83,4,9.17,11
399.1,11,1.53,4
398.08,10,12.4,4
405.45,7,7.11,9
404.01,6,3.09,5
413.63,6,9.5,11
404.99,7,3.81,6
408.23,10,5.86,8
406.29,8,8.56,11
397.6,10,11.94,4
407.98,10,4.82,7
403.77,6,0.39,2
413.57,6,10.13,2
404.94,7,9.28,11
408.25,10,6.35,8
406.97,9,-0.21,2
397.42,9,0.63,3
407.21,9,6.87,9
398.5,11,12.9,5
402.97,5,7.9,10
411.36,3,9.36,11
414.13,6,11.59,4
408.2,10,2.25,4
405.75,8,0.1,2
401.33,3,9.8,2
394.29,6,2.2,4
385.09,7,5.13,7
395.0,7,10.81,3
387.65,10,6.77,9
378.02,10,12.43,4
386.35,8,7.66,10
387.47,9,7.23,9
378.41,10,2.35,4
387.53,10,7.93,10
376.91,9,0.82,3
376.06,8,10.19,2
367.88,10,1.09,3
363.97,6,12.72,5
359.65,2,11.81,4
370.35,2,0.26,2
366.66,9,10.83,3
373.79,6,11.08,3
374.22,6,2.68,5
370.67,3,2.44,4
369.97,2,1.48,3
363.71,6,8.56,11
357.65,10,2.66,5
352.5,4,1.3,3
359.12,11,7.59,10
367.69,10,10.5,3
367.08,9,2.43,4
372.28,4,2.36,4
382.71,5,10.55,3
377.73,10,3.67,6
384.04,6,10.19,2
390.63,3,7.65,10
399.61,2,0.24,2
393.36,5,0.57,3
387.45,9,10.55,3
379.43,11,3.01,5
385.44,7,7.67,10
393.72,6,5.82,8
384.89,7,10.94,3
394.7,7,0.87,3
385.56,8,9.9,2
392.97,5,8.15,10
390.22,2,9.16,11
395.56,8,10.85,3
393.0,5,11.2,3
390.92,3,7.3,9
400.89,3,4.35,6
390.76,3,3.28,5
399.45,11,0.65,3
395.22,7,1.79,4
389.05,11,1.95,4
385.03,7,2.69,5
395.81,8,0.99,3
395.15,7,2.62,5
388.73,11,1.68,4
381.0,3,0.68,3
373.03,5,12.41,4
380.02,2,8.12,10
381.55,4,5.35,7
372.79,5,3.28,5
381.85,4,-0.11,2
371.24,3,-1.21,11
376.21,8,5.64,8
367.98,10,11.61,4
364.59,7,3.73,6
365.81,8,8.35,10
375.36,7,3.24,5
364.72,7,11.77,4
366.91,9,5.58,8
372.79,5,6.29,8
382.1,4,4.58,7
373.15,5,11.63,4
380.19,2,2.4,4
379.29,11,7.01,9
386.18,8,6.99,9
388.54,11,5.53,8
380.0,2,7.43,9
380.82,3,9.46,11
373.94,6,2.99,5
371.53,4,4.56,7
378.86,11,8.0,10
387.99,10,7.58,10
377.99,10,5.11,7
385.96,8,10.29,2
390.5,3,9.28,11
397.91,10,12.06,4
405.99,8,8.85,11
399.43,11,8.23,10
394.92,7,11.54,4
386.18,8,4.26,6
389.08,11,8.59,11
384.79,7,9.65,2
395.36,7,12.03,4
390.37,2,7.07,9
398.68,11,5.8,8
401.72,4,6.15,8
397.61,10,1.3,3
407.57,10,5.07,7
400.43,2,6.15,8
389.58,2,11.21,3
389.91,2,4.45,6
393.54,6,6.88,9
386.54,9,8.07,10
386.18,8,7.47,9
388.63,11,12.23,4
380.08,2,1.63,4
380.81,3,11.17,3
375.2,7,12.29,4
366.62,9,4.98,7
375.03,7,3.29,5
366.76,9,11.4,3
374.3,6,5.47,7
369.38,11,5.68,8
360.15,2,10.81,3
369.89,2,9.49,11
362.42,4,6.9,9
353.83,6,0.44,2
362.93,5,1.33,3
353.4,5,0.44,2
363.73,6,11.37,3
357.75,10,6.23,8
353.27,5,4.24,6
363.37,5,5.93,8
354.89,7,-0.37,2
355.91,8,1.49,3
347.66,10,9.71,2
356.86,9,9.91,2
346.99,9,4.57,7
357.77,10,9.72,2
353.68,6,11.86,4
364.09,6,5.42,7
360.69,3,-0.18,2
366.69,9,11.18,3
374.19,6,-0.54,11
370.06,2,11.79,4
363.49,5,-0.1,2
355.22,7,5.17,7
352.97,5,11.6,4
362.11,4,6.24,8
355.38,7,-0.46,2
351.94,4,4.11,6
352.25,4,8.75,11
355.13,7,9.57,2
353.57,6,4.49,6
363.04,5,9.12,11
353.72,6,8.44,10
363.42,5,8.18,10
354.42,6,10.66,3
360.1,2,6.47,8
370.03,2,0.4,2
364.24,6,5.7,8
361.82,4,1.43,3
357.39,9,6.13,8
350.02,2,8.29,10
339.51,2,4.66,7
341.94,4,5.25,7
346.38,8,0.31,2
353.81,6,5.44,7
363.4,5,10.45,2
354.31,6,8.31,10
360.15,2,8.65,11
369.53,2,5.3,7
359.93,2,5.49,7
368.99,11,6.27,8
359.59,2,1.85,4
369.79,2,12.11,4
361.68,4,8.27,10
357.92,10,9.02,11
354.95,7,2.32,4
354.51,7,10.23,2
358.56,11,6.96,9
362.89,5,8.15,10
352.86,5,4.16,6
362.42,4,4.32,6
353.52,6,1.16,3
362.8,5,7.68,10
352.98,5,5.16,7
362.65,5,5.59,8
353.02,5,10.82,3
361.77,4,8.85,11
356.93,9,8.17,10
346.41,8,12.42,4
354.02,6,9.36,11
362.75,5,3.86,6
352.17,4,1.01,3
355.08,7,10.92,3
354.31,6,11.09,3
360.6,3,6.64,9
365.99,8,2.23,4
375.63,8,10.21,2
366.07,8,-0.56,11
376.26,8,6.73,9
369.0,11,0.12,2
359.82,2,12.13,4
369.88,2,7.65,10
362.68,5,11.83,4
352.47,4,4.14,6
358.08,10,8.21,10
357.63,10,0.27,2
352.96,5,4.08,6
362.13,4,2.78,5
354.72,7,4.27,6
357.28,9,11.68,4
348.95,11,8.71,11
346.32,8,10.58,3
352.82,5,11.48,3
360.58,3,8.93,11
367.5,10,8.0,10
368.08,10,-0.39,2
363.14,5,11.86,4
353.14,5,4.49,6
362.58,5,8.13,10
353.45,5,3.56,6
363.58,6,5.25,7
356.64,9,11.94,4
346.91,9,0.49,2
356.58,9,9.03,11
347.08,9,-0.86,11
357.09,9,6.08,8
347.52,10,11.95,4
356.91,9,0.89,3
347.42,9,11.39,3
356.93,9,1.01,3
347.97,10,2.23,4
354.78,7,6.22,8
357.21,9,3.09,5
349.43,11,4.43,6
342.98,5,4.86,7
338.2,10,7.09,9
330.21,2,9.66,2
326.97,9,8.3,10
329.01,11,6.27,8
335.89,8,6.27,8
337.78,10,10.58,3
328.06,10,11.23,3
338.38,10,0.99,3
330.68,3,12.23,4
323.39,5,3.53,6
325.51,8,12.46,4
316.66,9,-0.55,11
323.08,5,0.41,2
327.32,9,7.02,9
333.35,5,11.55,4
335.69,8,7.64,10
339.71,2,12.06,4
343.46,5,7.65,10
334.96,7,3.6,6
343.89,6,9.02,11
333.56,6,10.75,3
338.82,11,6.6,9
333.98,6,9.37,11
342.81,5,4.88,7
339.51,2,11.9,4
341.51,4,12.5,5
349.4,11,1.94,4
343.58,6,1.38,3
334.4,6,8.43,10
343.61,6,9.89,2
333.81,6,5.32,7
340.88,3,4.88,7
351.19,3,1.03,3
344.89,7,0.93,3
338.6,11,9.49,11
332.15,4,5.75,8
325.09,7,9.79,2
314.86,7,2.5,5
321.12,3,11.09,3
326.87,9,7.55,10
328.44,10,10.1,2
337.88,10,13.0,5
327.11,9,10.99,3
331.85,4,8.08,10
322.67,5,1.33,3
330.67,3,1.86,4
323.83,6,-0.01,2
322.27,4,8.41,10
330.93,3,5.88,8
321.62,4,3.28,5
330.76,3,7.34,9
323.27,5,9.04,11
326.72,9,4.69,7
326.72,9,1.0,3
326.39,8,9.91,2
323.1,5,11.26,3
327.67,10,11.33,3
336.03,8,6.84,9
337.59,10,0.27,2
327.52,10,3.53,6
333.9,6,9.45,11
341.19,3,1.15,3
350.11,2,5.84,8
339.41,11,3.1,5
340.43,2,8.71,11
349.59,2,0.27,2
342.66,5,7.17,9
340.7,3,5.49,7
350.73,3,10.67,3
342.2,4,2.39,4
345.19,7,5.75,8
340.87,3,11.08,3
351.62,4,10.67,3
349.34,11,1.5,4
343.15,5,10.62,3
336.11,8,2.53,5
336.15,8,2.2,4
335.66,8,12.51,5
340.61,3,2.25,4
350.8,3,11.96,4
342.36,4,3.01,5
343.08,5,2.75,5
337.03,9,10.35,2
329.07,11,4.98,7
336.59,9,9.15,11
332.34,4,6.54,9
325.26,7,1.66,4
315.85,8,6.3,8
326.44,8,-0.33,2
323.93,6,1.67,4
320.24,2,7.08,9
317.95,10,11.72,4
312.0,4,6.86,9
303.42,5,4.25,6
312.95,5,9.48,11
303.85,6,8.74,11
311.06,3,7.74,10
310.36,2,5.81,8
316.19,8,9.32,11
324.98,7,4.6,7
314.45,6,4.18,6
316.92,9,9.11,11
320.82,3,7.82,10
324.66,7,0.23,2
315.67,8,7.07,9
325.87,8,8.23,10
318.41,10,1.23,3
309.7,2,11.71,4
318.61,11,3.35,5
308.67,11,6.73,9
316.14,8,-0.61,11
325.03,7,-1.08,11
314.5,6,5.31,7
316.71,9,0.58,3
321.6,4,-0.83,11
331.33,3,12.31,4
320.55,3,5.1,7
321.97,4,6.66,9
333.06,5,8.29,10
333.27,5,0.71,3
336.16,8,5.89,8
335.76,8,3.03,5
339.49,11,10.94,3
341.48,3,0.44,2
349.57,2,2.03,4
341.46,3,2.74,5
349.78,2,6.93,9
341.8,4,6.07,8
346.63,9,9.06,11
355.4,7,1.14,3
351.56,4,0.79,3
349.77,2,8.42,10
340.86,3,-0.03,2
350.28,2,1.8,4
340.26,2,-0.73,11
349.26,11,0.16,2
343.34,5,12.83,5
334.64,7,10.16,2
345.46,7,6.99,9
344.44,6,9.5,2
335.38,7,1.24,3
341.82,4,1.4,3
346.8,9,10.32,2
356.59,9,-0.12,2
346.91,9,3.06,5
356.52,9,9.31,11
346.59,9,7.0,9
354.42,6,4.15,6
359.88,2,0.46,2
369.89,2,4.01,6
362.03,4,1.98,4
356.27,8,8.94,11
347.69,10,9.39,11
356.17,8,3.67,6
347.35,9,7.95,10
355.81,8,3.02,5
348.49,10,1.03,3
350.76,3,2.22,4
341.87,4,11.71,4
346.41,8,9.14,11
353.52,6,2.48,4
364.62,7,1.12,3
367.05,9,8.81,11
372.14,4,10.91,3
381.85,4,5.14,7
371.88,4,3.8,6
381.24,3,9.06,11
372.09,4,12.63,5
381.98,4,0.17,2
373.0,5,7.98,10
380.7,3,4.93,7
375.32,7,0.88,3
366.3,8,5.83,8
375.72,8,1.86,4
365.02,7,10.53,3
369.45,11,7.15,9
360.47,2,9.91,2
368.87,11,0.96,3
359.13,11,10.87,3
367.46,9,1.63,4
367.4,9,12.21,4
368.68,11,4.79,7
359.91,2,8.83,11
369.51,2,8.56,11
360.03,2,2.19,4
369.1,11,12.03,4
359.29,11,10.6,3
368.45,10,11.27,3
361.34,3,5.74,8
361.02,3,7.06,9
364.35,6,4.06,6
363.65,6,10.45,2
356.69,9,9.83,2
346.21,8,1.26,3
351.97,4,5.69,8
352.31,4,8.38,10
356.36,8,0.38,2
346.96,9,11.81,4
357.18,9,2.93,5
348.78,11,6.44,8
349.1,11,3.09,5
345.81,8,11.4,3
348.22,10,2.06,4
352.37,4,0.64,3
357.34,9,8.66,11
349.83,2,2.74,5
340.53,3,1.18,3
349.72,2,8.39,10
341.47,3,2.75,5
349.06,11,7.44,9
345.4,7,7.27,9
343.15,5,2.58,5
336.84,9,4.23,6
331.03,3,4.98,7
322.08,4,2.04,4
331.04,3,5.08,7
322.87,5,2.28,4
329.51,2,1.36,3
333.3,5,3.62,6
335.49,7,4.47,6
341.21,3,2.67,5
350.09,2,-0.14,2
339.96,2,8.71,11
346.02,8,2.28,4
350.07,2,2.96,5
340.59,3,6.66,9
349.18,11,2.81,5
345.33,7,9.28,11
342.72,5,11.63,4
340.18,2,7.82,10
347.57,10,0.49,2
357.51,10,8.51,11
352.11,4,9.02,11
354.12,6,10.7,3
361.83,4,3.53,6
356.33,8,11.38,3
347.15,9,9.61,2
356.53,9,4.5,6
345.15,7,9.53,2
340.52,3,9.93,2
350.47,2,11.95,4
341.57,4,10.02,2
349.14,11,0.54,3
345.09,7,6.17,8
340.93,3,0.26,2
351.07,3,0.71,3
344.28,6,11.85,4
334.37,6,5.15,7
344.0,6,4.7,7
333.14,5,9.25,11
334.2,6,0.68,3
343.75,6,-0.14,2
333.76,6,0.96,3
340.41,2,2.37,4
350.37,2,2.63,5
339.78,2,6.3,8
344.09,6,1.66,4
334.42,6,9.19,11
343.96,6,1.65,4
334.16,6,9.96,2
342.93,5,11.42,3
338.11,10,1.82,4
329.29,11,7.37,9
334.55,7,4.03,6
344.91,7,11.75,4
338.79,11,11.5,3
333.69,6,6.09,8
340.51,3,1.1,3
349.99,2,8.34,10
339.53,2,0.37,2
341.21,3,3.21,5
350.97,3,2.92,5
343.4,5,7.05,9
335.1,7,9.39,11
343.83,6,11.16,3
334.37,6,1.62,4
344.31,6,10.05,2
334.4,6,8.25,10
343.28,5,10.31,2
336.02,8,10.49,2
337.66,10,8.46,10
328.17,10,-0.56,11
338.54,11,9.6,2
331.17,3,2.01,4
321.14,3,8.78,11
327.54,10,6.62,9
335.57,8,2.05,4
341.7,4,6.17,8
348.45,10,6.73,9
351.23,3,4.88,7
345.06,7,4.69,7
340.04,2,10.04,2
347.53,10,4.27,6
356.83,9,9.5,2
347.45,9,-0.4,2
357.5,10,8.4,10
351.12,3,8.58,11
343.82,6,4.89,7
333.57,6,9.91,2
339.82,2,-0.09,2
345.76,8,-0.83,11
347.52,10,2.04,4
355.99,8,7.47,9
347.67,10,10.46,2
356.78,9,6.93,9
346.46,8,0.48,2
354.16,6,10.63,3
362.11,4,8.38,10
355.38,7,-0.37,2
351.09,3,5.64,8
343.75,6,0.92,3
333.72,6,11.1,3
340.13,2,8.56,11
346.63,9,12.44,4
355.91,8,9.21,11
348.47,10,9.24,11
351.12,3,3.79,6
344.62,7,3.33,5
337.22,9,12.28,4
328.79,11,10.28,2
337.88,10,4.25,6
327.27,9,1.99,4
331.73,4,7.51,10
322.14,4,9.93,2
332.57,5,10.86,3
328.25,10,2.28,4
338.1,10,1.12,3
329.08,11,5.73,8
336.26,8,8.42,10
334.93,7,7.9,10
343.74,6,6.33,8
333.99,6,11.55,4
342.65,5,7.39,9
340.08,2,10.81,3
346.59,9,9.45,11
355.9,8,7.62,10
348.54,11,10.09,2
349.9,2,10.67,3
340.72,3,11.01,3
350.3,2,2.06,4
340.31,2,12.84,5
348.9,11,9.44,11
347.88,10,0.08,2
354.74,7,-0.01,2
357.41,9,11.2,3
350.74,3,10.4,2
341.94,4,6.43,8
348.09,10,9.85,2
353.39,5,8.09,10
364.24,6,7.68,10
361.45,3,8.02,10
359.45,11,8.88,11
369.13,11,7.78,10
359.01,11,11.8,4
366.44,8,6.5,9
375.25,7,1.75,4
364.89,7,11.12,3
369.16,11,2.44,4
359.29,11,1.92,4
367.83,10,7.88,10
365.12,7,3.18,5
371.45,3,2.83,5
377.38,9,11.24,3
381.02,3,1.69,4
373.49,5,2.74,5
376.67,9,10.05,2
374.28,6,5.71,8
370.17,2,10.64,3
364.75,7,0.07,2
368.55,11,7.88,10
360.28,2,4.06,6
368.61,11,11.0,3
360.01,2,7.87,10
369.57,2,6.68,9
360.36,2,4.34,6
368.02,10,5.65,8
363.99,6,5.77,8
359.43,11,8.43,10
368.81,11,-0.01,2
359.77,2,9.67,2
369.74,2,6.73,9
362.15,4,4.47,6
355.23,7,9.21,11
352.38,4,10.77,3
356.61,9,11.8,4
346.39,8,10.67,3
353.49,5,10.4,2
363.14,5,1.59,4
353.96,6,7.4,9
362.19,4,10.5,3
353.72,6,12.57,5
362.8,5,9.41,11
353.38,5,8.63,11
363.79,6,3.11,5
358.46,10,6.79,9
361.76,4,0.41,2
356.99,9,9.25,11
347.27,9,4.02,6
357.44,9,1.42,3
351.01,3,7.3,9
343.92,6,4.79,7
334.25,6,7.38,9
343.52,6,8.29,10
335.05,7,9.0,11
343.26,5,1.01,3
335.92,8,4.43,6
338.18,10,0.11,2
328.64,11,0.96,3
338.17,10,-0.67,11
328.12,10,8.23,10
337.29,9,5.81,8
328.44,10,0.63,3
338.15,10,8.91,11
328.7,11,-0.18,2
337.8,10,4.67,7
327.65,10,8.78,11
335.31,7,4.56,7
342.57,5,9.98,2
341.77,4,8.01,10
347.93,10,10.35,2
355.02,7,9.34,11
355.21,7,8.18,10
353.47,5,6.28,8
364.64,7,-0.2,2
367.05,9,9.81,2
371.77,4,9.11,11
381.29,3,6.07,8
372.23,4,6.46,8
382.29,4,9.06,11
374.39,6,11.56,4
369.29,11,1.85,4
358.97,11,0.61,3
366.19,8,11.31,3
375.61,8,5.96,8
365.09,7,5.98,8
371.26,3,6.07,8
376.47,8,1.99,4
371.52,4,9.77,2
378.8,11,0.18,2
388.28,10,1.63,4
378.9,11,9.67,2
387.96,10,1.38,3
377.63,10,1.67,4
383.99,6,1.24,3
391.21,3,3.55,6
401.42,3,10.25,2
394.47,6,2.65,5
384.92,7,12.32,4
395.54,8,10.56,3
392.89,5,1.84,4
391.53,4,3.2,5
400.58,3,5.25,7
389.79,2,9.52,2
391.33,3,0.33,2
401.64,4,0.24,2
396.35,8,6.42,8
401.47,3,10.2,2
395.77,8,3.81,6
395.25,7,6.33,8
389.45,11,4.11,6
388.71,11,9.12,11
380.28,2,3.83,6
378.9,11,7.75,10
388.18,10,0.87,3
378.11,10,11.6,4
387.98,10,3.08,5
378.59,11,8.72,11
387.66,10,7.33,9
377.9,10,0.42,2
386.14,8,3.81,6
389.26,11,8.01,10
386.13,8,1.79,4
388.97,11,2.66,5
383.22,5,4.02,6
382.35,4,2.25,4
374.41,6,10.3,2
369.35,11,8.13,10
357.87,10,2.1,4
355.34,7,8.36,10
352.1,4,4.04,6
353.91,6,11.01,3
362.82,5,4.19,6
352.84,5,12.35,4
360.35,2,6.43,8
368.72,11,5.97,8
359.0,11,-0.54,11
366.56,9,3.17,5
374.49,6,4.19,6
368.69,11,5.62,8
359.85,2,10.3,2
369.37,11,3.66,6
358.94,11,8.62,11
366.79,9,0.39,2
373.39,5,1.26,3
377.21,9,3.55,6
379.64,2,1.93,4
383.88,6,2.21,4
389.47,11,8.24,10
389.79,2,11.65,4
392.3,4,11.97,4
395.85,8,7.46,9
395.94,8,10.62,3
396.37,8,2.26,4
401.02,3,8.37,10
392.33,4,10.93,3
396.28,8,3.05,5
400.44,2,3.49,5
390.56,3,3.58,6
399.47,11,8.93,11
394.39,6,8.13,10
384.39,6,5.85,8
393.51,6,9.56,2
387.09,9,3.73,6
380.38,2,8.85,11
377.65,10,5.06,7
383.59,6,0.48,2
386.81,9,2.1,4
382.49,4,8.95,11
374.5,6,1.99,4
368.4,10,2.54,5
360.97,3,11.92,4
364.62,7,0.5,3
366.44,8,4.01,6
374.98,7,3.77,6
364.95,7,12.15,4
369.71,2,11.89,4
361.46,3,6.09,8
360.6,3,3.52,6
367.03,9,7.48,9
372.67,5,8.41,10
382.4,4,5.02,7
375.15,7,3.74,6
365.53,8,9.93,2
374.22,6,7.67,10
370.5,3,4.7,7
368.12,10,8.79,11
362.59,5,0.91,3
352.73,5,0.9,3
360.26,2,1.01,3
368.72,11,2.23,4
359.6,2,1.88,4
369.75,2,10.47,2
362.46,4,8.38,10
352.69,5,1.06,3
360.5,2,8.58,11
368.65,11,12.09,4
360.4,2,9.25,11
368.2,10,0.49,2
362.54,5,2.25,4
352.51,5,5.52,8
358.82,11,-0.34,2
365.65,8,8.88,11
374.72,7,4.89,7
366.97,9,6.09,8
372.48,4,6.24,8
382.36,4,12.35,4
374.68,7,5.34,7
367.65,10,7.56,10
367.13,9,-0.91,11
370.94,3,0.86,3
372.38,4,2.4,4
382.19,4,7.36,9
372.77,5,11.58,4
380.96,3,4.3,6
373.2,5,0.26,2
380.53,3,4.19,6
375.95,8,2.11,4
367.49,9,11.1,3
368.33,10,9.19,11
361.54,4,10.96,3
359.16,11,6.02,8
367.66,10,5.76,8
366.76,9,9.66,2
374.73,7,5.98,8
366.69,9,5.79,8
374.35,6,5.25,7
369.35,11,8.2,10
359.81,2,11.18,3
369.96,2,5.96,8
362.36,4,6.82,9
353.52,6,7.83,10
363.3,5,10.63,3
354.11,6,-0.04,2
362.5,5,7.18,9
353.08,5,3.71,6
362.64,5,9.31,11
352.58,5,11.35,3
360.53,3,11.76,4
367.69,10,2.69,5
366.18,8,9.73,2
376.7,9,4.81,7
373.53,6,7.12,9
376.46,8,-0.17,2
371.55,4,5.77,8
378.88,11,3.9,6
388.14,10,1.99,4
378.17,10,8.6,11
388.38,10,8.66,11
378.74,11,5.45,7
388.24,10,6.29,8
378.01,10,4.68,7
386.79,9,4.02,6
382.78,5,10.84,3
379.03,11,9.93,2
387.79,10,0.05,2
377.92,10,4.34,6
385.96,8,9.51,2
390.7,3,12.21,4
399.33,11,8.01,10
396.13,8,0.99,3
399.0,11,5.83,8
398.83,11,4.99,7
400.15,2,3.81,6
389.94,2,3.55,6
392.49,4,8.63,11
394.14,6,2.37,4
384.86,7,8.99,11
395.22,7,11.02,3
389.44,11,2.36,4
388.27,10,-0.79,11
378.04,10,2.16,4
385.9,8,6.16,8
390.03,2,4.98,7
395.7,8,-0.09,2
394.27,6,3.62,6
384.18,6,3.91,6
391.67,4,10.61,3
399.14,11,3.77,6
398.14,10,2.69,5
405.35,7,7.7,10
404.23,6,8.89,11
412.55,5,7.23,9
404.03,6,1.0,3
413.71,6,8.46,10
405.4,7,6.63,9
404.52,7,7.98,10
411.93,4,9.25,11
408.17,10,0.57,3
405.11,7,4.95,7
406.27,8,10.42,2
397.79,10,-0.47,2
406.51,9,3.87,6
396.56,9,2.57,5
404.02,6,6.51,9
413.07,5,8.04,10
402.59,5,3.75,6
407.15,9,12.36,4
397.37,9,3.79,6
407.72,10,10.63,3
401.14,3,2.36,4
392.44,4,9.99,2
394.36,6,10.56,3
384.39,6,7.63,10
392.93,5,-0.88,11
390.3,2,9.58,2
396.22,8,10.06,2
399.51,2,3.61,6
394.55,7,9.83,2
385.55,8,6.68,9
393.01,5,-1.22,11
389.6,2,10.56,3
388.79,11,5.35,7
382.43,4,9.8,2
375.31,7,11.13,3
365.17,7,5.84,8
372.12,4,8.88,11
381.85,4,11.83,4
371.83,4,0.17,2
380.65,3,5.61,8
375.87,8,5.97,8
367.5,9,4.78,7
367.15,9,10.49,2
371.01,3,2.88,5
374.53,7,2.83,5
368.11,10,2.55,5
362.76,5,5.3,7
352.35,4,6.7,9
356.38,8,0.03,2
347.26,9,7.02,9
